Pavardė     Vardas      ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavardė 1   Vardas1     8   9    10 6   10   9
Pavarde 2   Vardas2     7   10   8  5   4    6
Pavardė 3   Vardas1     8   9    10 6   3  9
Pavarde 4   Vardas2     7   10   8  5   4    6
Pavardė 5   Vardas1     10  9    4 6   10   9
Pavarde 6   Vardas2     7   7   8  5   4    6
Pavardė 7   Vardas1     8   7    10 6   3   9
Pavarde 8   Vardas2     7   2   8  5   4    6
Pavardė 9   Vardas1     8   9    10 6   10   9
Pavarde 10   Vardas2     8   10   8  5   3    6
